1  2,4,5-TP             2600.0  .40     5.0    20.0 0.75      2.500               Silvex                  
188Sonalan              4000.0  .40     4.0    60.0 0.75      0.300               Ethalfluralin           
189Spectracide          1000.0  .90     4.0    40.0 0.75     60.000               Diazinon                
190Spike                  80.0  .90    30.0   360.0 0.75   2500.000               Tebuthiuron             
191Sprout Nip            400.0  .90     8.0    30.0 0.75     89.000               Chlorpropham            
192Stam                  149.0  .70     1.0     1.0 0.75    200.000               Propanil                
193Supracide             400.0  .90     3.0     7.0 0.75    220.000               Methidathion            
194Surflan               600.0  .40     5.0    20.0 0.75      2.500               Oryzalin                
195Sutan                 400.0  .30     1.0    13.0 0.75     44.000               Butylate                
196Swat                    7.0  .95     5.0    17.0 0.751000000.000               Phosphamidon            
197Tackle                113.0  .95     5.0    14.0 0.75 250000.000               Acifluorfen             
198Talstar            240000.0  .40     7.0    26.0 0.75      0.100               Bifenthrin              
199Tandem               5600.0  .40     8.0    28.0 0.75      1.800               Tridiphane              
200Tanone                250.0  .65     2.0    40.0 0.75    200.000               Phenthoate              
201Tattoo                570.0  .85     3.0     5.0 0.75     40.000               Bendiocarb              
202TBZ                  2500.0  .60    30.0   403.0 0.75     50.000               Thiabendazole           
203Temik                  40.0  .70     7.0     7.0 0.75   6000.000               Aldicarb                
204Temik Sulfone          10.0  .70    20.0    20.0 0.75   6000.000               Aldicarb Sulfone        
205Temik Sulfoxide        30.0  .70    30.0    30.0 0.75   6000.000               Aldicarb Sulfoxide      
206Tenoran              3000.0  .40    15.0    60.0 0.75      2.500               Chloroxuron             
207Terbutrex            2000.0  .50     5.0    42.0 0.75     22.000               Terbutryn               
208Terrachlor           5000.0  .40     4.0    21.0 0.75      0.440               PCNB                    
209Terraneb             1650.0  .50    30.0   130.0 0.75      8.000               Chloroneb               
210Terrazole            1000.0  .60     3.0    20.0 0.75     50.000               Etridiazole             
211Thimet               1000.0  .60     2.0    60.0 0.75     22.000               Phorate                 
212Thiodan             12400.0  .05     3.0    50.0 0.75      0.320               Endosulfan              
